20290,,, הקורס מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏.
20277,,| הקורסים מבוא למדעי המחשב ושפת Java,2 מתמטיקה בדידה: תורת הקבוצות, קומבינטוריקה ותורת הגרפים (‏&#xFEFF;או נושאים במתמטיקה לתלמידי מדעי החברה‎)‏.|, הקורס מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏.
20436,, הקורס מערכות בסיסי-נתונים.,
20296,, הקורס אלגברה לינארית 1., הקורס מבנים אלגבריים.
20218,, הקורס חשבון דיפרנציאלי ואינטגרלי א או צמד הקורסים חשבון אינפיניטסימלי 1 (‏&#xFEFF;20474‎)‏ + השלמות בחשבון אינטגרלי., הקורס אלגברה לינארית 1.
20462,,| אחד מבין הקורסים מבוא למדעי המחשב ושפת Java, מבוא למדעי המחשב ושפת Java א, יסודות התכנות בשפת Java.|,
20596, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| אחד מבין הקורסים לוגיקה למדעי המחשב (‏&#xFEFF;או לוגיקה מתמטית‎)‏, נושאים במתמטיקה לתלמידי מדעי החברה: פרקים בתורת הקבוצות, בלוגיקה ובאלגברה לינארית, וכן הקורס מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏.|, הקורס אלגוריתמים.
20551, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| הקורסים מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏, לוגיקה למדעי המחשב (‏&#xFEFF;‏&#xFEFF;או לוגיקה מתמטית‎ או נושאים במתמטיקה לתלמידי מדעי החברה‎)‏‏, הסתברות לתלמידי מדעי המחשב (‏&#xFEFF;או תורת ההסתברות או מבוא לסטטיסטיקה למדעים‎)‏.|,
20554, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה., הקורס מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏.,
20582, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| אחד מהקורסים הסתברות לתלמידי מדעי המחשב, מבוא לסטטיסטיקה ולהסתברות למדעים, מבוא לסטטיסטיקה לתלמידי מדעי החברה א, תורת ההסתברות, וכן הקורס מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏.|, הקורס אלגוריתמים.
20937,,,
20562, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| צמד הקורסים חשבון אינפיניטסימלי 1 (‏&#xFEFF;20474‎)‏ + חשבון אינפיניטסימלי 2  (‏&#xFEFF;20475‎)‏,1 וכן אלגברה לינארית 1, מבני נתונים ומבוא לאלגוריתמים, מעבדה בתכנות מערכות.|,
20580, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| הקורסים אלגברה לינארית 1, הסתברות לתלמידי מדעי המחשב, מבוא למדעי המחשב ושפת Java.|,| הקורסים מבני נתונים ומבוא לאלגוריתמים, מבוא לתורת החישוביות והסיבוכיות, מתמטיקה בדידה: תורת הקבוצות, קומבינטוריקה ותורת הגרפים.|
20364, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| הקורסים אוטומטים ושפות פורמליות, מעבדה בתכנות מערכות.|,
20905, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה., הקורס מבני נתונים ומבוא לאלגוריתמים והקורס תכנות מונחה עצמים (‏&#xFEFF;או הנדסת תוכנה: הפשטה ועיצוב מונחה עצמים‎)‏.,| הקורסים אוטומטים ושפות פורמליות, קומפילציה.|
20906, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה., הקורס מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏.,
20574, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| הקורסים מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏, מערכות בסיסי-נתונים.|, הקורס עקרונות מערכות הפעלה.
20581, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| מבוא לסטטיסטיקה ולהסתברות למדעים (‏&#xFEFF;או הסתברות לתלמידי מדעי המחשב‎)‏, מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או מבני נתונים‎)‏, חשבון דיפרנציאלי ואינטגרלי א (‏&#xFEFF;או חשבון אינפיניטסימלי 1‎)‏,1 אלגברה לינארית 1 (‏&#xFEFF;או אלגברה לינארית לתלמידי מדעים‎)‏.|,| הקורסים אוטומטים ושפות פורמליות, מבוא לתורת החישוביות והסיבוכיות,3 אלגוריתמיקה: יסודות מדעי המחשב, אלגוריתמים, וכן הקורס אשנב למדעי החיים (‏&#xFEFF;או שני הקורסים ביולוגיה כללית א, ביולוגיה כללית ב‎)‏.|
20595, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| הקורס הסתברות לתלמידי מדעי המחשב (‏&#xFEFF;או הקורס מבוא לסטטיסטיקה ולהסתברות למדעים‎)‏, הקורס מבני נתונים ומבוא לאלגוריתמים (‏&#xFEFF;או הקורס מבני נתונים‎)‏.|,| הסקה סטטיסטית, אלגוריתמים.|
20900, עמידה בדרישות האנגלית ובדרישות ההדרכה הביבליוגרפית בספרייה.,| הקורס אנליזה נומרית 1, ואחד מבין הקורסים משוואות דיפרנציאליות רגילות 1, מבוא למשוואות דיפרנציאליות רגילות.|,
